"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Sialis",1962.666666,"Arthropoda","Arachnida",,,,5.333333333,"Arthropoda","Insecta","Megaloptera","Sialidae","Sialis","exact","order",1,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Ameletus","Ameletus",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","order","order",9,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Ameletus","Chironomidae",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",752,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","family",7,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Ameletus","Ecclisomyia",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",5.333333333,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","order","order",68,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Ameletus","Oligochaeta",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",165.3333333,"Annelida","Clitellata",,,,"order","exact",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Ameletus","Sialis",10.66666667,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus",5.333333333,"Arthropoda","Insecta","Megaloptera","Sialidae","Sialis","order","order",15,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Chironomidae","Ameletus",752,"Arthropoda","Insecta","Diptera","Chironomidae",,10.66666667,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","exact","order",1,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Chironomidae","Chironomidae",752,"Arthropoda","Insecta","Diptera","Chironomidae",,752,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Chironomidae","Ecclisomyia",752,"Arthropoda","Insecta","Diptera","Chironomidae",,5.333333333,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Ecclisomyia","family","family",12,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
"Chironomidae","Oligochaeta",752,"Arthropoda","Insecta","Diptera","Chironomidae",,165.3333333,"Annelida","Clitellata",,,,"family","exact",21,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63"
