"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Ceratopogonidae","Ceratopogonidae",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea","order","order",242,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ceratopogonidae","Chironomidae",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea",568,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","family",165,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ceratopogonidae","Dytiscidae",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus","order","family",12,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ceratopogonidae","Limnephilidae",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea",4.8,,,,,,"order","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ceratopogonidae","Muscidae",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","order","order",242,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ceratopogonidae","Oligochaeta",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea",70.4,"Annelida","Clitellata",,,,"order","exact",23,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ceratopogonidae","Pedicia",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea",1.6,"Arthropoda","Insecta","Diptera","Pediciidae","Pedicia","order","exact",10,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Ceratopogonidae","Prosimulium",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea",3.2,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","order","family",32,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Ceratopogonidae",568,"Arthropoda","Insecta","Diptera","Chironomidae",,1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Chironomidae",568,"Arthropoda","Insecta","Diptera","Chironomidae",,568,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Dytiscidae",568,"Arthropoda","Insecta","Diptera","Chironomidae",,1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus","family","family",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Limnephilidae",568,"Arthropoda","Insecta","Diptera","Chironomidae",,4.8,,,,,,"order","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Muscidae",568,"Arthropoda","Insecta","Diptera","Chironomidae",,6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Oligochaeta",568,"Arthropoda","Insecta","Diptera","Chironomidae",,70.4,"Annelida","Clitellata",,,,"family","exact",21,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Pedicia",568,"Arthropoda","Insecta","Diptera","Chironomidae",,1.6,"Arthropoda","Insecta","Diptera","Pediciidae","Pedicia","family","exact",10,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Chironomidae","Prosimulium",568,"Arthropoda","Insecta","Diptera","Chironomidae",,3.2,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","family",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Dytiscidae","Ceratopogonidae",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea","order","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Dytiscidae","Chironomidae",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus",568,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","family",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Dytiscidae","Dytiscidae",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus","family","family",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Dytiscidae","Muscidae",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","order","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Dytiscidae","Pedicia",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus",1.6,"Arthropoda","Insecta","Diptera","Pediciidae","Pedicia","order","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Dytiscidae","Prosimulium",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus",3.2,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","order","order",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Ceratopogonidae",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora",1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea","order","order",242,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Chironomidae",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora",568,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","family",165,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Dytiscidae",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora",1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus","order","family",12,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Limnephilidae",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora",4.8,,,,,,"order","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Muscidae",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","order","order",242,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Oligochaeta",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora",70.4,"Annelida","Clitellata",,,,"order","exact",23,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Pedicia",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora",1.6,"Arthropoda","Insecta","Diptera","Pediciidae","Pedicia","order","exact",10,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Muscidae","Prosimulium",6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora",3.2,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","order","family",32,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Ceratopogonidae",70.4,"Annelida","Clitellata",,,,1.6,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Monohelea","exact","order",5,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Chironomidae",70.4,"Annelida","Clitellata",,,,568,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Dytiscidae",70.4,"Annelida","Clitellata",,,,1.6,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Stictotarsus","exact","order",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
"Oligochaeta","Muscidae",70.4,"Annelida","Clitellata",,,,6.4,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","exact","order",5,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis","2,13,15,47,50,63"
