"node","density","phylum","class","order","family","genus"
"Acari",2368,"Arthropoda","Arachnida",,,
"Baetis",384,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",3488,"Arthropoda","Insecta","Diptera","Chironomidae",
"Dicranota",21.33333333,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota"
"Doroneuria",10.66666667,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Ironodes",21.33333333,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Oligochaeta",544,"Annelida","Clitellata",,,
"Rhyacophila",10.66666667,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",128,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Limnephilidae",10.66666667,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus"
"Muscidae",32,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Dytiscidae",42.66666667,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
