"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",428,"Arthropoda","Arachnida",,,,428,"Arthropoda","Arachnida",,,,"exact","exact",16,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Acari","Chironomidae",428,"Arthropoda","Arachnida",,,,642,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Acari","Oreodytes",428,"Arthropoda","Arachnida",,,,8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","exact","family",16,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Acari","Dytiscidae",428,"Arthropoda","Arachnida",,,,12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",16,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Chironomidae","Chironomidae",642,"Arthropoda","Insecta","Diptera","Chironomidae",,642,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Chironomidae","Oligochaeta",642,"Arthropoda","Insecta","Diptera","Chironomidae",,112,"Annelida","Clitellata",,,,"family","exact",21,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Chironomidae","Oreodytes",642,"Arthropoda","Insecta","Diptera","Chironomidae",,8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","exact","genus",3,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Chironomidae","Ceratopogonidae",642,"Arthropoda","Insecta","Diptera","Chironomidae",,2,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Forcipomyia","family","family",2,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Chironomidae","Dytiscidae",642,"Arthropoda","Insecta","Diptera","Chironomidae",,12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",62,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
"Oligochaeta","Acari",112,"Annelida","Clitellata",,,,428,"Arthropoda","Arachnida",,,,"exact","exact",2,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}},Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,from Brose et al 2005 (Ledger, Edwards & Woodward unpublished),Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133,K. Kuusela, Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the river Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland, 1979).,Kuusela, K, (1979). Early Summer Ecology and Community Structure of the Macrozoobenthos on Stones In the J�v�j�nkoski Rapids on the River Lestijoki, Finland, Acta Universitatis Ouluensis (Ser. A, no. 87, Oulu, Finland).,Ledger, Edwards & Woodward unpublished,Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.,observed - gut/stomach analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis",",10,11,15,23,28,46,47,59,2,13,15,47,50,63"
