"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",70.4,"Arthropoda","Arachnida",,,,70.4,"Arthropoda","Arachnida",,,,"exact","exact",16,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Acari","Chironomidae",70.4,"Arthropoda","Arachnida",,,,2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Acari","Diptera",70.4,"Arthropoda","Arachnida",,,,25.6,"Arthropoda","Insecta","Diptera","Empididae","Clinocera","exact","exact",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Chironomidae",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Dicranota",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","family","exact",103,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Prosimulium",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","exact",6,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Chironomidae","Simulium",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Dicranota","Dicranota",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","exact","exact",5,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Prosimulium","Chironomidae",377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",22,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Prosimulium","Dicranota",377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","family","exact",5,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Prosimulium","Prosimulium",377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","genus","genus",4,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Prosimulium","Simulium",377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",5,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Simulium","Chironomidae",390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",13,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Simulium","Dicranota",390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",6.4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","genus","exact",4,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Simulium","Prosimulium",390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",377.6,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","exact","family",5,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Simulium","Simulium",390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium",390.4,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
"Turbellaria","Chironomidae",6.4,"Platyhelminthes","Turbellaria",,,,2496,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"J. Sarvala, Paarjarven energiatalous, Luonnon Tutkija 78:181-190, from p. 185.,Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",""
