"node","density","phylum","class","order","family","genus"
"Acari",428,"Arthropoda","Arachnida",,,
"Chironomidae",642,"Arthropoda","Insecta","Diptera","Chironomidae",
"Oligochaeta",112,"Annelida","Clitellata",,,
"Oreodytes",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes"
"Ostracoda",24,"Arthropoda","Ostracoda",,,
"Turbellaria",30,"Platyhelminthes","Turbellaria",,,
"Clitellata",2,"Annelida","Clitellata","Euhirudinea",,
"Ceratopogonidae",2,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Forcipomyia"
"Muscidae",2,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora"
"Dytiscidae",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes"
