"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Chironomidae","Chironomidae",166.5166517,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,166.5166517,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Chironomidae","Oligochaeta",166.5166517,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,180.0180018,0.506640431,"Annelida","Clitellata",,,,"family","exact",21,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Chironomidae","Prosimulium",166.5166517,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,427.5427543,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","exact",6,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Chironomidae","Simulium",166.5166517,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,265.5265527,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Helodon","Oligochaeta",990.0990099,0.286362446,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",180.0180018,0.506640431,"Annelida","Clitellata",,,,"family","exact",2,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Helodon","Prosimulium",990.0990099,0.286362446,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",427.5427543,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","genus",4,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Helodon","Simulium",990.0990099,0.286362446,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",265.5265527,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",5,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Oligochaeta","Chironomidae",180.0180018,0.506640431,"Annelida","Clitellata",,,,166.5166517,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Oligochaeta","Oligochaeta",180.0180018,0.506640431,"Annelida","Clitellata",,,,180.0180018,0.506640431,"Annelida","Clitellata",,,,"exact","exact",2,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Pisidium","Oligochaeta",130.5130513,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium",180.0180018,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Prosimulium","Oligochaeta",427.5427543,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",180.0180018,0.506640431,"Annelida","Clitellata",,,,"family","exact",2,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Prosimulium","Prosimulium",427.5427543,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",427.5427543,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","genus","genus",4,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
"Prosimulium","Simulium",427.5427543,0.291869328,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",265.5265527,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",5,"Gilljam, D., et al. (2011). Seeing Double: Size-Based and Taxonomic Views of Food Web Structure. Advances in Ecological Research, 45, 67�133",""
