"node","N","M","phylum","class","order","family","genus"
"Baetis",72.00720072,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Brachycentrus",4.500450045,10.9444965,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Brachycentrus"
"Caudatella",54.00540054,1.542387039,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella"
"Chelifera",4.500450045,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",306.0306031,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Drunella",22.50225023,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Helodon",4.500450045,0.286362446,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon"
"Nematomorpha",18.00180018,0.015,"Nematomorpha",,,,
"Oligochaeta",22.50225023,0.506640431,"Annelida","Clitellata",,,
"Optioservus",4.500450045,0.136166585,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Paraperla",13.50135014,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla"
"Pisidium",54.00540054,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",72.00720072,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",9.00090009,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
