"node","N","M","phylum","class","order","family","genus"
"Acari",4.500450045,0.1,"Arthropoda","Arachnida",,,
"Baetis",40.50405041,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",621.0621062,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cleptelmis",4.500450045,0.33255826,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis"
"Diphetor",13.50135014,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Epeorus",9.00090009,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",58.50585059,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Lepidostoma",9.00090009,6.358310257,"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma"
"Malenka",4.500450045,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Muscidae",4.500450045,1.259049334,"Arthropoda","Insecta","Diptera","Muscidae","Muscidae"
"Pisidium",13.50135014,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",4.500450045,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
