"node","N","M","phylum","class","order","family","genus"
"Baetis",36.00360036,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chelifera",4.500450045,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",463.5463546,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",13.50135014,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Heterlimnius",171.0171017,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Lepidostoma",13.50135014,6.358310257,"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma"
"Oligochaeta",4.500450045,0.506640431,"Annelida","Clitellata",,,
"Optioservus",13.50135014,0.136166585,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Pisidium",580.5580558,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhizelmis",22.50225023,0.31573772,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
"Simulium",4.500450045,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",22.50225023,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
