"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",103.510351,0.1,"Arthropoda","Arachnida",,,,103.510351,0.1,"Arthropoda","Arachnida",,,,"exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae",103.510351,0.1,"Arthropoda","Arachnida",,,,193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acentrella","Chironomidae",4.500450045,0.285232064,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acentrella",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",15,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae",31.50315032,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Acari",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,103.510351,0.1,"Arthropoda","Arachnida",,,,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Chironomidae",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Optioservus",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,252.0252025,0.136166585,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus","family","family",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Rhizelmis",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,54.00540054,0.31573772,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis","family","family",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Simulium",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,67.50675068,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Diphetor","Chironomidae",4.500450045,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",15,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Optioservus","Chironomidae",252.0252025,0.136166585,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Rhizelmis","Chironomidae",54.00540054,0.31573772,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis",193.5193519,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
