"node","density","phylum","class","order","family","genus"
"Alloperla",18.00180018,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla"
"Antocha",18.00180018,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha"
"Baetis",99.00990099,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Caudatella",9.00090009,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella"
"Diphetor",18.00180018,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Epeorus",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Malenka",31.50315032,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Megarcys",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlodidae","Megarcys"
"Chironomidae",427.5427543,"Arthropoda","Insecta","Diptera","Chironomidae",
"Nematomorpha",9.00090009,"Nematomorpha",,,,
"Oligochaeta",9.00090009,"Annelida","Clitellata",,,
"Optioservus",243.0243024,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Pisidium",436.5436544,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhizelmis",22.50225023,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
