"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Desmona","Desmona",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","family","order",1,"observed - gut/stomach analysis","63"
"Desmona","Helodon",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona",990.0990099,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","order",1,"observed - gut/stomach analysis","63"
"Desmona","Chironomidae",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",1,"observed - gut/stomach analysis","63"
"Desmona","Oligochaeta",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona",180.0180018,"Annelida","Clitellata",,,,"order","exact",1,"observed - gut/stomach analysis","63"
"Desmona","Prosimulium",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona",427.5427543,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","order",1,"observed - gut/stomach analysis","63"
"Desmona","Simulium",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona",265.5265527,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","order",1,"observed - gut/stomach analysis","63"
"Desmona","Stegopterna",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona",364.5364536,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","family","order",1,"observed - gut/stomach analysis","63"
"Helodon","Desmona",990.0990099,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",13.50135014,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Desmona","order","family",12,"observed - gut/stomach analysis","63"
"Helodon","Helodon",990.0990099,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",990.0990099,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",3,"observed - gut/stomach analysis","63"
"Helodon","Chironomidae",990.0990099,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",9,"observed - gut/stomach analysis","63"
"Helodon","Oligochaeta",990.0990099,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",180.0180018,"Annelida","Clitellata",,,,"family","exact",2,"observed - gut/stomach analysis","63"
"Helodon","Optioservus",990.0990099,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",4.500450045,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus","order","family",2,"observed - gut/stomach analysis","63"
"Helodon","Prosimulium",990.0990099,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",427.5427543,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","family",3,"observed - gut/stomach analysis","63"
