"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Drunella","Drunella",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","order","order",9,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Drunella","Helodon",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",144.0144014,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","order","order",11,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Drunella","Chironomidae",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",94.50945095,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","family",7,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Drunella","Oligochaeta",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",4.500450045,"Annelida","Clitellata",,,,"order","exact",4,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Drunella","Ochrotrichia",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","order","order",68,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Drunella","Optioservus",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",288.0288029,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus","order","family",1,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Drunella","Oreogeton",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella",4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton","order","order",11,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Drunella",144.0144014,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella","order","family",6,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Helodon",144.0144014,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",144.0144014,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","family","family",3,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Chironomidae",144.0144014,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",94.50945095,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",9,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Oligochaeta",144.0144014,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",4.500450045,"Annelida","Clitellata",,,,"family","exact",2,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
"Helodon","Ochrotrichia",144.0144014,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon",4.500450045,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Ochrotrichia","family","order",27,"observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis","10,11,15,23,28,46,47,59"
