"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Baetis",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",9,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Baetis","Diphetor",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor","order","order",9,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Baetis","Heterlimnius",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",81.00810081,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius","order","family",1,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Baetis","Chironomidae",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",324.0324032,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Baetis","Oligochaeta",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",9.00090009,"Annelida","Clitellata",,,,"exact","exact",1,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Baetis","Rhizelmis",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",76.50765077,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis","order","family",1,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Baetis","Simulium",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",103.510351,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Baetis","Stegopterna",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna","exact","order",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Baetis","Suwallia",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",13.50135014,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia","genus","order",4,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
"Diphetor","Baetis",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","order","order",9,"inferred - stable isotope analysis,observed,observed - feeding trial,observed - field; gut/stomach analysis; expert; feeding trial; natural history,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,observed interaction in field,observed,observed - feeding trial,observed - gut/stomach analysis","2,10,11,12,13,15,18,23,26,27,28,32,35,36,40,41,47,50,58,59,60,62,63,2,13,15,47,50"
