"node","density","phylum","class","order","family","genus"
"Baetis",31.50315032,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",324.0324032,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Heterlimnius",81.00810081,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Oligochaeta",9.00090009,"Annelida","Clitellata",,,
"Pisidium",594.0594059,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhizelmis",76.50765077,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
"Simulium",103.510351,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Stegopterna",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna"
"Suwallia",13.50135014,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Turbellaria",4.500450045,"Platyhelminthes","Turbellaria",,,
