"node","density","phylum","class","order","family","genus"
"Baetis",36.00360036,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chelifera",4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Diphetor",13.50135014,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Heterlimnius",171.0171017,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Lepidostoma",13.50135014,"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma"
"Chironomidae",463.5463546,"Arthropoda","Insecta","Diptera","Chironomidae",
"Oligochaeta",4.500450045,"Annelida","Clitellata",,,
"Optioservus",13.50135014,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Pisidium",580.5580558,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhizelmis",22.50225023,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
"Simulium",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",22.50225023,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
