"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",157.5157516,"Arthropoda","Arachnida",,,,157.5157516,"Arthropoda","Arachnida",,,,"exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae",157.5157516,"Arthropoda","Arachnida",,,,1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Antocha","Antocha",27.00270027,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha",27.00270027,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha","family","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Antocha",27.00270027,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",27.00270027,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha","exact","family",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae",27.00270027,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Antocha",1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,27.00270027,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha","family","genus",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Chironomidae",1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Ephemerella",1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella","exact","family",7,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Helodon",1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,49.5049505,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","exact","family",5,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Heterlimnius",1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,117.0117012,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius","family","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Chironomidae","Rhizelmis",1048.60486,"Arthropoda","Insecta","Diptera","Chironomidae",,54.00540054,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis","family","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Diphetor","Antocha",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor",27.00270027,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha","family","family",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
