"node","density","phylum","class","order","family","genus"
"Antocha",4.500450045,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha"
"Baetis",175.5175518,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",936.0936094,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",49.5049505,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",18.00180018,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Heterlimnius",18.00180018,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Hydropsyche",9.00090009,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Lepidostoma",18.00180018,"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma"
"Malenka",22.50225023,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Optioservus",40.50405041,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Oreogeton",4.500450045,"Arthropoda","Insecta","Diptera","Empididae","Oreogeton"
"Polycentropus",4.500450045,"Arthropoda","Insecta","Trichoptera","Polycentropodidae","Polycentropus"
"Rhizelmis",9.00090009,"Arthropoda","Insecta","Coleoptera","Elmidae","Rhizelmis"
"Rhyacophila",27.00270027,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
