"node","N","M","phylum","class","order","family","genus"
"Acari",13.88888889,0.1,"Arthropoda","Arachnida",,,
"Agraylea",4.62962963,1.067967109,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Ameletus",1.851851852,9.08748113,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus"
"Baetis",27.77777778,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",1.851851852,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Chelifera",2.777777778,0.684825948,"Arthropoda","Insecta","Diptera","Empididae","Chelifera"
"Chironomidae",89.81481481,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Chyranda",0.925925926,16.25424036,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Chyranda"
"Cinygmula",1.851851852,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Diphetor",4.62962963,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",5.555555556,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Epeorus",2.777777778,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",0.925925926,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Neoplasta",2.777777778,1.008478441,"Arthropoda","Insecta","Diptera","Empididae","Neoplasta"
"Nixe",0.925925926,4.945134263,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Nixe"
"Oligochaeta",3.703703704,0.506640431,"Annelida","Clitellata",,,
"Rhyacophila",10.18518519,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",1.851851852,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",16.66666667,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Sweltsa",4.62962963,7.797269444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Zapada",27.77777778,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
"Benthic.producers",1,0.001,,,,"Benthic.producers",
"Pelagic.producers",1,0.001,,,,"Pelagic.producers",
