"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",1.388888889,0.1,"Arthropoda","Arachnida",,,,1.388888889,0.1,"Arthropoda","Arachnida",,,,"exact","exact",16,"source","Matthew D Green"
"Acari","Chironomidae",1.388888889,0.1,"Arthropoda","Arachnida",,,,56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"source","Matthew D Green"
"Acari","Isoperla",1.388888889,0.1,"Arthropoda","Arachnida",,,,1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","exact","genus",8,"source","Matthew D Green"
"Arctopsyche","Arctopsyche",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","family","family",3,"source","Matthew D Green"
"Arctopsyche","Cinygmula",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche",6.944444444,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula","family","family",3,"source","Matthew D Green"
"Arctopsyche","Doroneuria",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","family",16,"source","Matthew D Green"
"Arctopsyche","Epeorus",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche",6.944444444,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus","family","family",3,"source","Matthew D Green"
"Arctopsyche","Isoperla",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","family","family",7,"source","Matthew D Green"
"Arctopsyche","Rhyacophila",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",8,"source","Matthew D Green"
"Baetis","Arctopsyche",43.05555556,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","exact","family",66,"source","Matthew D Green"
"Baetis","Chironomidae",43.05555556,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"source","Matthew D Green"
"Baetis","Doroneuria",43.05555556,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","exact",1,"source","Matthew D Green"
"Baetis","Isoperla",43.05555556,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.388888889,15.874116,"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","exact","exact",16,"source","Matthew D Green"
"Baetis","Oligochaeta",43.05555556,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",6.944444444,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"source","Matthew D Green"
"Baetis","Paraperla",43.05555556,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.388888889,15.81062366,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Paraperla","exact","family",17,"source","Matthew D Green"
"Baetis","Rhyacophila",43.05555556,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"source","Matthew D Green"
"Caudatella","Arctopsyche",1.388888889,1.542387039,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella",1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","family","family",10,"source","Matthew D Green"
"Caudatella","Doroneuria",1.388888889,1.542387039,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella",1.388888889,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","family","family",10,"source","Matthew D Green"
"Caudatella","Rhyacophila",1.388888889,1.542387039,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella",2.777777778,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",4,"source","Matthew D Green"
"Chironomidae","Acari",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,1.388888889,0.1,"Arthropoda","Arachnida",,,,"exact","exact",1,"source","Matthew D Green"
"Chironomidae","Arctopsyche",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,1.388888889,51.81128833,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Arctopsyche","exact","family",21,"source","Matthew D Green"
"Chironomidae","Caudatella",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,1.388888889,1.542387039,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella","exact","family",7,"source","Matthew D Green"
"Chironomidae","Chironomidae",56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,56.94444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"source","Matthew D Green"
