"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Rhyacophila",14.81481481,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Chironomidae","Chironomidae",113.5802469,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,113.5802469,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Chironomidae","Rhyacophila",113.5802469,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Chironomidae","Serratella",113.5802469,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,6.172839506,1.176798991,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella","exact","genus",7,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Chironomidae","Simulium",113.5802469,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,3674.074074,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Epeorus","Rhyacophila",1.234567901,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus",1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",4,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Heterlimnius","Rhyacophila",4.938271605,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius",1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","genus",3,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Malenka","Rhyacophila",4.938271605,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka",1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",1,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Pisidium","Rhyacophila",238.2716049,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium",1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",8,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
"Rhyacophila","Rhyacophila",1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila",1.234567901,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"@article{FRYER_1959,	doi = {10.1111/j.1469-7998.1959.tb05521.x}, url = {https://doi.org/10.1111%2Fj.1469-7998.1959.tb05521.x}, year = 1959, month = {aug}, publisher = {Wiley}, volume = {132}, number = {2}, pages = {153--281}, author = {GEOFFREY FRYER}, title = {{THE} {TROPHIC} {INTERRELATIONSHIPS} {AND} {ECOLOGY} {OF} {SOME} {LITTORAL} {COMMUNITIES} {OF} {LAKE} {NYASA} {WITH} {ESPECIAL} {REFERENCE} {TO} {THE} {FISHES}, {AND} A {DISCUSSION} {OF} {THE} {EVOLUTION} {OF} A {GROUP} {OF} {ROCK}-{FREQUENTING} {CICHLIDAE}}, journal = {Proceedings of the Zoological Society of London}},G. Fryer, 1957.  The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with special reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proc. Zool. Soc. London 132:153-281, f,G. Fryer, The trophic interrelationships and ecology of some littoral communities of Lake Nyasa, Proc. London Zool. Soc. 132:153-229, from p. 219 (1959).,G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.,G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",""
