"node","N","M","phylum","class","order","family","genus"
"Calineuria",1.388888889,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Caudatella",2.777777778,1.542387039,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella"
"Chironomidae",170.8333333,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",6.944444444,2.092471648,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",4.166666667,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Epeorus",26.38888889,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Hydropsyche",4.166666667,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Ironodes",6.944444444,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Malenka",79.16666667,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Micrasema",8.333333333,5.45856005,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema"
"Paraleptophlebia",43.05555556,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Pisidium",293.0555556,0.102405857,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Planorbidae",1.388888889,0.102405857,"Mollusca","Gastropoda","Basommatophora","Planorbidae",
"Rhyacophila",16.66666667,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",930.5555556,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Sweltsa",5.555555556,7.797269444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",19.44444444,0.325065883,"Platyhelminthes","Turbellaria",,,
