"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Doroneuria",12.5,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2.777777778,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","exact",1,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Baetis","Hydropsyche",12.5,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",11.11111111,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",35,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Baetis","Oligochaeta",12.5,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",5.555555556,0.506640431,"Annelida","Clitellata",,,,"exact","exact",1,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Baetis","Rhyacophila",12.5,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",1.388888889,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Baetis","Turbellaria",12.5,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",2.777777778,0.030679362,"Platyhelminthes","Turbellaria",,,,"family","exact",1,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Chironomidae","Antocha",23.61111111,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,1.388888889,0.185248823,"Arthropoda","Insecta","Diptera","Tipulidae","Antocha","family","genus",1,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Chironomidae","Chironomidae",23.61111111,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,23.61111111,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Chironomidae","Hydropsyche",23.61111111,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,11.11111111,5.40467727,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","exact","exact",13,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Chironomidae","Oligochaeta",23.61111111,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,5.555555556,0.506640431,"Annelida","Clitellata",,,,"family","exact",21,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Chironomidae","Rhyacophila",23.61111111,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,1.388888889,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
"Chironomidae","Simulium",23.61111111,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,9.722222222,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"Badcock, R.M. (1949) Studies in Stream Life in Tributaries of the Welsh Dee. Journal of Animal Ecology, 18, 193�208.,Kenly. T.L. 2018.Variability in Invertebrate Trophic Networks along Stream Nutrient Gradients,observed - gut/stomach analysis,R. M. Badcock (1949). Studies in stream life tributaries of the Welsh Dee. Journal of Animal Ecology, 18, pp. 193-208, from Price, P.W. (ed), (1984) Insect Ecology, 2nd ed., New York: John Wiley, p. 23. ,R. M. Badcock, 1949.  Studies in stream life in tributaries of the Welsh Dee. J. Anim. Ecol. 18:193-208, from pp. 202-206 and Price, P. W., 1984, Insect Ecology, 2nd ed., New York: John Wiley, p. 23,R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.,source,Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161,Thompson, RM and Townsend, CR. 2003.  Impacts on stream food webs of native and exotic forest: an intercontinental comparison.  Ecology 84:145-161",",63,https://mangal.io - the ecological interaction database."
