"node","N","M","phylum","class","order","family","genus"
"Baetis",19.44444444,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Brachycentrus",2.777777778,10.9444965,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Brachycentrus"
"Chironomidae",32.40740741,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cinygma",0.925925926,10.12718881,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygma"
"Cinygmula",1.851851852,7.969282283,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Cinygmula"
"Cleptelmis",1.851851852,0.33255826,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis"
"Doroneuria",6.481481481,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Drunella",2.777777778,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Epeorus",1.851851852,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Oligochaeta",0.925925926,0.506640431,"Annelida","Clitellata",,,
"Optioservus",1.851851852,0.136166585,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Paraleptophlebia",0.925925926,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Rhyacophila",3.703703704,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",0.925925926,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",2.777777778,2.473558448,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
"Wormaldia",1.851851852,7.017858546,"Arthropoda","Insecta","Trichoptera","Philopotamidae","Wormaldia"
"Zapada",2.777777778,0.789662984,"Arthropoda","Insecta","Plecoptera","Nemouridae","Zapada"
