"node","density","phylum","class","order","family","genus"
"Agraylea",1.388888889,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Apatania",0.694444444,"Arthropoda","Insecta","Trichoptera","Apataniidae","Apatania"
"Baetis",14.58333333,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Chironomidae",21.52777778,"Arthropoda","Insecta","Diptera","Chironomidae",
"Epeorus",1.388888889,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",4.861111111,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Hydropsyche",3.472222222,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Malenka",0.694444444,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Oligochaeta",3.472222222,"Annelida","Clitellata",,,
"Optioservus",2.777777778,"Arthropoda","Insecta","Coleoptera","Elmidae","Optioservus"
"Paraleptophlebia",0.694444444,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Pisidium",4.861111111,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Rhyacophila",0.694444444,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Serratella",4.166666667,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Serratella"
"Simulium",3.472222222,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Suwallia",0.694444444,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Suwallia"
