"node","density","phylum","class","order","family","genus"
"Calineuria",1.388888889,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Caudatella",2.777777778,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Caudatella"
"Chironomidae",170.8333333,"Arthropoda","Insecta","Diptera","Chironomidae",
"Diphetor",6.944444444,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Diphetor"
"Doroneuria",4.166666667,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria"
"Epeorus",26.38888889,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Hydropsyche",4.166666667,"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche"
"Ironodes",6.944444444,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes"
"Malenka",79.16666667,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Micrasema",8.333333333,"Arthropoda","Insecta","Trichoptera","Brachycentridae","Micrasema"
"Paraleptophlebia",43.05555556,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Pisidium",293.0555556,"Mollusca","Bivalvia","Veneroida","Pisidiidae","Pisidium"
"Planorbidae",1.388888889,"Mollusca","Gastropoda","Basommatophora","Planorbidae",
"Rhyacophila",16.66666667,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",930.5555556,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Sweltsa",5.555555556,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Sweltsa"
"Turbellaria",19.44444444,"Platyhelminthes","Turbellaria",,,
