"node","N","M","phylum","class","order","family","genus"
"Agraylea",1.388888889,1.067967109,"Arthropoda","Insecta","Trichoptera","Hydroptilidae","Agraylea"
"Baetis",15.27777778,0.712555345,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis"
"Calineuria",4.166666667,82.42323092,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria"
"Chironomidae",19.44444444,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",
"Cleptelmis",4.166666667,0.33255826,"Arthropoda","Insecta","Coleoptera","Elmidae","Cleptelmis"
"Drunella",2.777777778,4.884692448,"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Drunella"
"Epeorus",1.388888889,14.45630938,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus"
"Heterlimnius",8.333333333,0.562121954,"Arthropoda","Insecta","Coleoptera","Elmidae","Heterlimnius"
"Malenka",11.11111111,0.596340159,"Arthropoda","Insecta","Plecoptera","Nemouridae","Malenka"
"Narpus",1.388888889,0.617772783,"Arthropoda","Insecta","Coleoptera","Elmidae","Narpus"
"Oligochaeta",1.388888889,0.506640431,"Annelida","Clitellata",,,
"Paraleptophlebia",1.388888889,1.004883072,"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"Rhyacophila",9.722222222,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila"
"Simulium",5.555555556,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium"
"Turbellaria",1.388888889,0.030679362,"Platyhelminthes","Turbellaria",,,
