Taxonomic_name,Taxon,M,Body_length_mm,a,b,Genus,Family,Order,Max_body_size_abbrev,Body_shape_abbrev,Armor_abbrev,Resp_abbrev,Feed_prim_abbrev,Habit_prim_abbrev,Rheophily_abbrev,Drift_abbrev,Female_disp_abbrev,AdultFlyingStrength_abbrev,MaxCrawlRate_abbrev,SwimmingAbility_abbrev,Exit_temporarily_abbrev,AbilityToSurviveDesiccation_abbrev,Voltinism_abbrev,Dev_speed_abbrev,Adult_lifespan_abbrev,Thermal_pref
Acari,Acari,0.1,2,NA,NA,Acari,Trombidiformes,Trombidiformes,small,not_streamlined,poor,none,MPR,CB,depo_eros,rare,low,none,very_low,none,absent,absent,univoltine,fast,very_short,CCE
Acentrella,Acentrella,0.285232064,4,0.0053,2.875,Acentrella,Baetidae,Ephemeroptera,small,streamlined,none,gills,CG,SW,depo_eros,common,low,weak,very_low,strong,absent,absent,bi_multivoltine,fast,very_short,NP
Aedes,Aedes,0.89445841,8,0.003588889,2.653777778,Aedes,Culicidae,Diptera,small,not_streamlined,poor,none,CG,SW,depo,rare,low,weak,low,strong,absent,present,bi_multivoltine,fast,very_short,NP
Agabus,Agabus,7.651273071,8,0.014975,2.999,Agabus,Dytiscidae,Coleoptera,medium,streamlined,good,plastron_spiracle,PR,SW,depo_eros,rare,high,strong,high,strong,present,absent,semivoltine,slow,long,NP
Agraylea,Agraylea,1.067967109,6,0.006635714,2.835785714,Agraylea,Hydroptilidae,Trichoptera,small,streamlined,poor,tegument,HB,CB,depo_eros,rare,high,weak,very_low,none,absent,absent,univoltine,slow,very_short,NP
Alloperla,Alloperla,2.473558448,8.857,0.0065,2.724,Alloperla,Chloroperlidae,Plecoptera,medium,not_streamlined,none,tegument,CG,CN,depo_eros,common,low,weak,low,weak,absent,absent,univoltine,slow,short,CCE
Allotrichoma,Allotrichoma,0.018364301,1.85,0.003588889,2.653777778,Allotrichoma,Ephydridae,Diptera,small,not_streamlined,poor,none,CG,BU,eros,rare,low,weak,low,none,present,absent,univoltine,slow,very_short,NP
Ameletus,Ameletus,9.08748113,13.333,0.0053,2.875,Ameletus,Baetidae,Ephemeroptera,medium,streamlined,well,gills,CG,SW,depo_eros,rare,low,weak,high,strong,absent,absent,univoltine,fast,short,NP
Amphizoa,Amphizoa,36.74834651,13.5,0.014975,2.999,Amphizoa,Amphizoidae,Coleoptera,medium,streamlined,well,air,PR,CN,eros,rare,high,strong,high,weak,absent,absent,univoltine,fast,long,CCE
Antocha,Antocha,0.185248823,4.714,0.0029,2.681,Antocha,Tipulidae,Diptera,medium,not_streamlined,none,gills,CG,CN,depo_eros,rare,low,weak,low,none,absent,present,univoltine,slow,short,NP
Apatania,Apatania,0.196011748,3.3,0.006635714,2.835785714,Apatania,Apataniidae,Trichoptera,medium,not_streamlined,good,gills,CG,CN,eros,rare,low,weak,low,none,absent,absent,univoltine,slow,short,CCE
Aquarius,Aquarius,12.89548623,13.5,0.015,2.596,Aquarius,Gerridae,Hemiptera,medium,not_streamlined,none,plastron_spiracle,PR,SK,depo,rare,low,weak,high,strong,present,present,bi_multivoltine,fast,long,NP
Arctocorisa,Arctocorisa,2.055659406,6.276666667,0.00473,3.307,Arctocorisa,Corixidae,Hemiptera,medium,streamlined,poor,plastron_spiracle,HB,SW,depo,rare,high,strong,high,strong,present,present,bi_multivoltine,fast,long,NP
Arctopsyche,Arctopsyche,51.81128833,24.25,0.0046,2.926,Arctopsyche,Hydropsychidae,Trichoptera,medium,not_streamlined,none,gills,CF,CN,eros,rare,low,weak,low,none,absent,absent,univoltine,slow,short,CCE
Atrichopogon,Atrichopogon,0.162619632,5.425,0.0025,2.469,Atrichopogon,Ceratopogonidae,Diptera,small,not_streamlined,poor,tegument,CG,SP,depo_eros,rare,low,weak,very_low,none,absent,absent,bi_multivoltine,fast,very_short,NP
Baetis,Baetis,0.712555345,5.5,0.0053,2.875,Baetis,Baetidae,Ephemeroptera,small,streamlined,none,gills,CG,SW,depo_eros,abundant,low,weak,very_low,strong,absent,absent,bi_multivoltine,fast,very_short,NP
Benthic.producers,Benthic.producers,0.001,,,,,,,,,,,,,,,,,,,,,,,,
Bezzia,Bezzia,0.162619632,5.425,0.0025,2.469,Bezzia,Ceratopogonidae,Diptera,small,not_streamlined,poor,tegument,MPR,BU,depo_eros,rare,low,weak,very_low,none,absent,absent,univoltine,fast,very_short,NP
