Taxonomic_name,Network,O.NET,Site,N,phylum,class,order,family,genus,Resolved.to,node
Acari,CASCADE,CASCADE,CLS1_1,58.50585059,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,CASCADE,CASCADE,CLS1_3,18.00180018,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,CASCADE,CASCADE,CLS2_3,4.500450045,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,CASCADE,CASCADE,CLS3_3,18.00180018,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,CASCADE,CASCADE,CLS4_3,4.500450045,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,CASCADE,CASCADE,CLS5_1 ,22.50225023,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,EVO,EVO,ELS2_2,18.00180018,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,EVO,EVO,ELS3_1,4.500450045,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,EVO,EVO,ELS3_3,54.00540054,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,EVO,EVO,ELS5_1,94.50945095,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,EVO,EVO,ELS5_2,22.50225023,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,EVO,EVO,ELS5_3,18.00180018,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,EVO,EVO,ELS8_1,4.500450045,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,RAE,BUBBS,RLS2_1,4.500450045,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,RAE,BUBBS,RLS5_3,157.5157516,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,RAE,BUBBS,RLS6_1,103.510351,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,YOUNG,YOUNG,YLS2_2_3,22.50225023,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,YOUNG,YOUNG,YLS2_3_3,4.500450045,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,YOUNG,YOUNG,YLS3_1_3,9.00090009,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,YOUNG,YOUNG,YLS3_3_3,13.50135014,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,YOUNG,YOUNG,YLS4_3_3,13.50135014,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.11007.fishless.2004,108.7216248,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.11007.fishless.2003,113.5005974,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.Vidette.below.2011,484.4285145,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.Vidette.below.2003,622.4611709,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.11007.fishless.2011,745.5197133,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.Vidette.below.2004,930.1075269,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.10487.trt.2003,1053.166069,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.10477.trt.2003,1479.091995,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.10477.trt.2011,1481.481482,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.10477.trt.2004,2331.541219,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.10487.trt.2004,2949.820789,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.10487.trt.2011,3741.338113,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.Vidette.below.2012,6771.804062,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,BUBBS,BUBBS,Outlet.10494.trt.2012,22212.66428,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10042,64,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10036,70.4,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
